Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675372256.3473425,0,76256,0,GPS1_frame,62.340000000000146,22.684799999999996,15.0,1.3,587253.1322377392,6913193.788041463,21.0:10.0,34,V
1675372257.3623736,0,76257,0,GPS1_frame,62.34090000000015,22.68419999999969,15.1,1.3,587219.4536804676,6913293.2200136,21.0:10.0,34,V
1675372258.3373003,0,76258,0,GPS1_frame,62.341699999999946,22.683799999999792,15.0,1.3,587196.422326237,6913381.784014076,21.0:10.0,34,V
1675372259.3223593,0,76259,0,GPS1_frame,62.34230000000025,22.683200000000397,14.6,1.3,587163.6167242477,6913447.802792916,21.0:10.0,34,V
1675372260.3208141,0,76260,0,GPS1_frame,62.34299999999985,22.682700000000295,14.5,1.3,587135.7000292494,6913525.094527768,21.0:11.0,34,V
1675372261.3379314,0,76261,0,GPS1_frame,62.343300000000454,22.68239999999969,14.0,1.3,587119.2982997705,6913558.104171006,21.0:11.0,34,V
1675372262.3374288,0,76262,0,GPS1_frame,62.34360000000015,22.682200000000194,13.4,1.3,587108.0742534692,6913591.248568238,21.0:11.0,34,V
1675372263.3448658,0,76263,0,GPS1_frame,62.34450000000015,22.681400000000394,13.0,1.3,587064.048890919,6913690.412743775,21.0:11.0,34,V
1675372264.37076,0,76264,0,GPS1_frame,62.344600000000355,22.68080000000009,12.2,1.3,587032.6960587013,6913700.743147099,21.0:11.0,34,V
1675372265.3472235,0,76265,0,GPS1_frame,62.345000000000255,22.68000000000029,12.0,1.3,586990.1209823919,6913744.2186289495,21.0:11.0,34,V
1675372266.3230717,0,76266,0,GPS1_frame,62.34519999999975,22.67950000000019,11.9,1.3,586963.6567472172,6913765.822109165,21.0:11.0,34,V
1675372267.3230097,0,76267,0,GPS1_frame,62.345400000000154,22.678799999999683,12.0,1.3,586926.8387082623,6913787.156979118,21.0:11.0,34,V
1675372268.3386197,0,76268,0,GPS1_frame,62.34559999999965,22.678200000000288,12.0,1.3,586895.1981815975,6913808.62659906,21.0:11.0,34,V
1675372269.336817,0,76269,0,GPS1_frame,62.345900000000256,22.677599999999984,11.8,1.3,586863.2691177806,6913841.234458511,21.0:11.0,34,V
1675372270.323069,0,76270,0,GPS1_frame,62.34619999999995,22.676900000000387,11.6,1.3,586826.163729429,6913873.708369,21.0:11.0,34,V
1675372271.3418605,0,76271,0,GPS1_frame,62.34659999999985,22.67609999999968,11.6,1.3,586783.5934808102,6913917.186450367,21.0:11.0,34,V
1675372272.3396323,0,76272,0,GPS1_frame,62.347499999999854,22.67540000000008,11.7,1.3,586744.7582781841,6914016.488946496,21.0:11.0,34,V
1675372273.3215976,0,76273,0,GPS1_frame,62.34820000000036,22.674699999999575,12.0,1.3,586706.5021189202,6914093.515976136,21.0:11.0,34,V
1675372274.3230717,0,76274,0,GPS1_frame,62.34900000000016,22.673799999999574,12.2,1.3,586657.6063768631,6914181.413402261,21.0:11.0,34,V
1675372275.319923,0,76275,0,GPS1_frame,62.34990000000016,22.67320000000018,12.3,1.3,586623.9538570167,6914280.8512744345,21.0:11.0,34,V
1675372276.3222637,0,76276,0,GPS1_frame,62.350499999999556,22.672899999999572,12.8,1.3,586606.6960645565,6914347.277283231,21.0:11.0,34,V
1675372277.3193793,0,76277,0,GPS1_frame,62.35120000000006,22.672300000000178,13.1,1.3,586573.622537397,6914424.439727003,21.0:11.0,34,V
1675372278.3494477,0,76278,0,GPS1_frame,62.351700000000164,22.67199999999957,13.4,1.3,586556.6543172051,6914479.72802398,21.0:11.0,34,V
1675372279.327449,0,76279,0,GPS1_frame,62.35180000000037,22.67159999999967,13.9,1.3,586535.6624022354,6914490.33071492,21.0:11.0,34,V
1675372280.322014,0,76280,0,GPS1_frame,62.352200000000266,22.67119999999977,14.3,1.3,586513.8070479394,6914534.3474545665,21.0:11.0,34,V
1675372281.3225286,0,76281,0,GPS1_frame,62.352600000000166,22.67109999999957,14.3,1.3,586507.4797684465,6914578.765582133,21.0:11.0,34,V
