Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675372987.2497432,0,76987,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372988.2571974,0,76988,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372989.25202,0,76989,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372990.3289077,0,76990,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372991.2514029,0,76991,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372992.2639487,0,76992,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372993.2559724,0,76993,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372994.2856255,0,76994,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372995.2548833,0,76995,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372996.2635622,0,76996,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372997.253957,0,76997,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372998.2512608,0,76998,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372999.2503817,0,76999,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.3,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373000.2514286,0,77000,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373001.2785037,0,77001,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373002.255416,0,77002,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373003.253071,0,77003,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373004.2510738,0,77004,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373005.2529285,0,77005,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373006.2546797,0,77006,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373007.305447,0,77007,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373008.2526007,0,77008,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373009.2747042,0,77009,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373010.2751231,0,77010,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
