Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675373321.27053,0,77321,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373322.2622712,0,77322,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373323.264035,0,77323,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373324.2757683,0,77324,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373325.2586634,0,77325,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373326.2402854,0,77326,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373327.240817,0,77327,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373328.2584412,0,77328,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373329.2533169,0,77329,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373330.25757,0,77330,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373331.2413101,0,77331,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373332.256707,0,77332,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373333.2399929,0,77333,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373334.2708678,0,77334,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373335.2721746,0,77335,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373336.2405918,0,77336,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373337.2426002,0,77337,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
